value
"""got the shot because"""
"""got the shot so"""
"""got the shot since"""
"""got the shot after"""
"""got the shot cause"""
"""got the jab because"""
"""got the jab so"""
"""got the jab since"""
"""got the jab after"""
"""got the jab cause"""
"""got the vaccine because"""
"""got the vaccine so"""
"""got the vaccine since"""
"""got the vaccine after"""
"""got the vaccine cause"""
"""got vaccinated because"""
"""got vaccinated so"""
"""got vaccinated since"""
"""got vaccinated after"""
"""got vaccinated cause"""
"""got vaxxed because"""
"""got vaxxed so"""
"""got vaxxed since"""
"""got vaxxed after"""
"""got vaxxed cause"""
"""got vaxed because"""
"""got vaxed so"""
"""got vaxed since"""
"""got vaxed after"""
"""got vaxed cause"""
"""got vaxd because"""
"""got vaxd so"""
"""got vaxd since"""
"""got vaxd after"""
"""got vaxd cause"""
"""got vacced because"""
"""got vacced so"""
"""got vacced since"""
"""got vacced after"""
"""got vacced cause"""
"""got boosted because"""
"""got boosted so"""
"""got boosted since"""
"""got boosted after"""
"""got boosted cause"""
"""got the booster because"""
"""got the booster so"""
"""got the booster since"""
"""got the booster after"""
"""got the booster cause"""
"""got my booster because"""
"""got my booster so"""
"""got my booster since"""
"""got my booster after"""
"""got my booster cause"""
"""reason for being vaccinated"""
"""reason for being jabbed"""
"""reason for being boosted"""
"""reason for being vaxxed"""
"""reason for being vaxed"""
"""reason for being vaxd"""
"""reason for getting vaccinated"""
"""reason for getting jabbed"""
"""reason for getting boosted"""
"""reason for getting vaxxed"""
"""reason for getting vaxed"""
"""reason for getting vaxd"""
"""reason for being vaccinated"""
"""reason for being jabbed"""
"""reason for being boosted"""
"""reason for being vaxxed"""
"""reason for being vaxed"""
"""reason for being vaxd"""
"""reason for getting vaccinated"""
"""reason for getting jabbed"""
"""reason for getting boosted"""
"""reason for getting vaxxed"""
"""reason for getting vaxed"""
"""reason for getting vaxd"""
